486890,amajaga,263,9268121,19,618
619304,Kr%C3%B3l+lew+9638,263,467894,266,29
1840666,mj1978,7666,6793,436,3
2390492,hen67,5638,137532,330,13
35411,tata40,5638,552670,257,36
602261,ciapek75,148,10911498,11,677
427377,Gladiator03,1472,974667,223,74
1310292,proboss1998,,854,559,1
372884,MrsYeti,7520,161410,320,14
2163403,ammamon,7704,50691,381,9
935646,rudnik128,2557,5120474,75,361
122266,jastrzab55,1472,12553435,4,733
387267,Komarek138,2394,156472,322,11
724344,hjhgjg,2394,143183,326,9
2343535,HejKupMiZiemniaka,263,398545,281,26
863669,zyziek15,7419,1497,507,1
1411561,DantePLLL,,175,653,1
2466175,piotrr1234,4333,3717,455,1
2404355,barbaretka12,7478,2117,485,1
137165,Lukasz555,263,4540317,87,305
2475690,looouii,,590,580,1
1213875,gramm,2557,1895450,168,133
2284603,gangamafia,7419,108314,341,13
762874,mheven,1472,61642,373,4
1684232,GromeoMU,5638,141922,328,16
2445758,mody93,,1220,523,1
901748,rewolt,263,4383057,97,298
511797,-Cati336-,148,3012721,127,199
1255007,onDynamite,45,675179,245,45
2475689,lkiou,,538,591,1
2295142,rokxi3,7710,2776,470,1
496145,emi2,1472,4175494,101,270
530871,karakan197,263,2473082,143,185
2450575,ro12a,5638,27217,398,4
837552,spahis,,1099811,214,123
2352202,Kiciaaa.19,3807,877807,228,61
2068613,garg1989,,524,596,1
1786642,valdix+III,263,473281,265,42
1878394,J-A-R-L,7651,14069,410,4
858536,karolpopek,1948,497386,261,29
2325850,12345Marek,,62092,371,14
2310217,4r4ss,7630,4823,447,1
1446518,qowadis,2461,13764,413,2
680003,arminiusz,2461,1781546,172,115
1010854,draiw,,363062,287,33
2312644,tiger890,,61908,372,26
427938,NABRAM,263,1940528,167,125
1825005,LokiWawa,6719,451363,269,35
500056,Szarik+98,45,7920144,37,449
1045955,Jaabe,2557,5771689,61,421
543389,rudi331,,0,690,0
1556664,ApUp,,0,668,0
2452847,Wojciech+zimny,7705,1216,524,1
1780763,jarek1084,7719,1705,497,1
1417298,jajacek22,,0,679,0
2180608,Bafflox,,0,669,0
616772,mewka73,7113,3119,463,1
2363972,Szogun1965,7688,1228,522,1
2147388,gustnik,7505,959,547,1
464399,Karolewski341,1472,3808030,110,289
2371638,Nautilus11,,221,630,1
1719249,krisosik,2461,15218,409,4
1034712,luciusz33,7660,3716250,113,286
93408,Banita82,4333,6734,437,1
1753127,MuTiLDoN,2557,132577,334,8
1184821,jony2002,,523,598,1
2378777,MY+EMPIRE,7693,49890,383,9
2428668,jan+woj,263,46795,387,3
1852800,szatannnnnn,7113,858,558,1
2403374,Exarkun121,,197,640,1
2472155,krzysio811,1472,2546,479,1
2176600,heniuteks,,221,626,1
637702,Amicis45,6063,64915,367,9
1799401,RadziozNT,263,1405723,196,93
2239321,fazi981,5638,66522,366,6
2268338,MrSzarak2508PL,2557,55555,378,4
1266505,Sebastos2,2394,424434,277,36
526345,Diox,5638,28298,397,5
2058412,krzys198208,148,1301410,202,80
32924,niemawacka,,43489,389,7
2250095,zawoja0,5638,208636,310,31
2362588,kk54,1706,1100359,213,76
